bike_id,total_used_hrs,total_possible_hrs,total_unused_hrs,percent_used
4229,1950.0,54639,52689.0,3.57
13499,2183.0,58109,55926.0,3.76
14337,1667.0,53375,51708.0,3.12
5915,1761.0,48340,46579.0,3.64
8576,2184.0,67285,65101.0,3.25
5188,1904.0,50724,48820.0,3.75
12309,2317.0,70398,68081.0,3.29
6845,1943.0,57049,55106.0,3.41
5346,2136.0,67271,65135.0,3.18
5250,1800.0,54776,52976.0,3.29
4231,1577.0,52494,50917.0,3.0
4773,1431.0,45562,44131.0,3.14
14169,1995.0,55119,53124.0,3.62
4563,1382.0,40202,38820.0,3.44
6791,1495.0,49530,48035.0,3.02
5003,1819.0,53082,51263.0,3.43
10142,698.0,19584,18886.0,3.56
7648,781.0,22831,22050.0,3.42
10395,1979.0,53915,51936.0,3.67
6121,1683.0,53122,51439.0,3.17
6427,2257.0,63788,61531.0,3.54
13698,2159.0,59393,57234.0,3.64
11759,2574.0,68421,65847.0,3.76
4631,2061.0,65611,63550.0,3.14
3509,1858.0,52189,50331.0,3.56
12712,2329.0,64512,62183.0,3.61
7934,2673.0,67237,64564.0,3.98
9694,2530.0,67294,64764.0,3.76
6541,1934.0,54383,52449.0,3.56
10013,2019.0,67251,65232.0,3.0
13220,1801.0,65615,63814.0,2.74
7474,1894.0,52904,51010.0,3.58
7158,2532.0,67321,64789.0,3.76
8987,1062.0,20788,19726.0,5.11
12324,2874.0,70355,67481.0,4.08
6648,1943.0,57103,55160.0,3.4
13611,1168.0,61129,59961.0,1.91
2299,1661.0,64288,62627.0,2.58
838,1772.0,66546,64774.0,2.66
7420,1336.0,39277,37941.0,3.4
7315,1981.0,66963,64982.0,2.96
3508,1941.0,67331,65390.0,2.88
11482,2460.0,67322,64862.0,3.65
12574,2503.0,67205,64702.0,3.72
4952,1532.0,54145,52613.0,2.83
2053,2131.0,67327,65196.0,3.17
9942,2118.0,67319,65201.0,3.15
2298,1821.0,66283,64462.0,2.75
447,2195.0,66480,64285.0,3.3
13385,2398.0,57364,54966.0,4.18
12937,1869.0,66076,64207.0,2.83
5961,2148.0,65291,63143.0,3.29
8010,1980.0,67277,65297.0,2.94
4185,1747.0,63093,61346.0,2.77
13989,1431.0,55629,54198.0,2.57
10007,2121.0,67304,65183.0,3.15
10217,2024.0,67190,65166.0,3.01
9740,2473.0,66518,64045.0,3.72
13474,1780.0,56619,54839.0,3.14
4803,1726.0,51681,49955.0,3.34
9307,2040.0,67037,64997.0,3.04
12403,2421.0,67322,64901.0,3.6
9353,2252.0,62923,60671.0,3.58
948,1662.0,59420,57758.0,2.8
10291,2318.0,67174,64856.0,3.45
8788,1602.0,52748,51146.0,3.04
8516,1430.0,41263,39833.0,3.47
8439,1364.0,36919,35555.0,3.69
10614,1827.0,67333,65506.0,2.71
7232,710.0,22919,22209.0,3.1
2189,2653.0,67306,64653.0,3.94
13405,2200.0,52616,50416.0,4.18
13584,2464.0,58703,56239.0,4.2
4042,1332.0,38631,37299.0,3.45
7146,1642.0,64459,62817.0,2.55
6673,1686.0,67184,65498.0,2.51
311,1636.0,54486,52850.0,3.0
2790,1906.0,62960,61054.0,3.03
13258,2135.0,54543,52408.0,3.91
13004,2357.0,66700,64343.0,3.53
8032,2152.0,67306,65154.0,3.2
578,1826.0,53612,51786.0,3.41
